CODART;FAMILIA;SUBFAMILIA;Obsoleto
210021;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
210102;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;Si
210908;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
215001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215005;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215007;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215008;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
215009;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
215010;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215013;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215015;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
220001;ARROCES Y LEGUMBRES;ARROCES;No
220002;ARROCES Y LEGUMBRES;ARROCES;No
220003;ARROCES Y LEGUMBRES;ARROCES;No
220004;ARROCES Y LEGUMBRES;ARROCES;No
220005;ARROCES Y LEGUMBRES;ARROCES;No
220006;ARROCES Y LEGUMBRES;ARROCES;No
220007;ARROCES Y LEGUMBRES;ARROCES;No
220008;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220009;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220010;ARROCES Y LEGUMBRES;ARROCES;Si
220011;ARROCES Y LEGUMBRES;ARROCES;Si
220012;ARROCES Y LEGUMBRES;ARROCES;Si
220014;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220015;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220016;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220018;ARROCES Y LEGUMBRES;ARROCES;No
220019;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220101;ARROCES Y LEGUMBRES;ARROCES;Si
220103;ARROCES Y LEGUMBRES;ARROCES;Si
220210;ARROCES Y LEGUMBRES;ARROCES;Si
225001;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
225002;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
225003;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
225004;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
225005;CONDIMENTOS;AZUCARES Y EDULCORANTES;Si
225006;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
225007;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
225008;CONDIMENTOS;AZUCARES Y EDULCORANTES;Si
225009;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
225010;COMPLEMENTOS;AZUCARES Y EDULCORANTES;No
225016;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
235001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
235003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
235203;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;Si
240001;HARINAS Y SEMOLAS;SEMOLAS;No
240002;HARINAS Y SEMOLAS;SEMOLAS;No
240003;HARINAS Y SEMOLAS;SEMOLAS;No
240004;HARINAS Y SEMOLAS;SEMOLAS;No
240006;HARINAS Y SEMOLAS;SEMOLAS;No
240008;SOPAS Y PLATOS PREPARADOS;SOPAS;No
240009;SOPAS Y PLATOS PREPARADOS;SOPAS;No
240016;HARINAS Y SEMOLAS;SEMOLAS;No
240017;HARINAS Y SEMOLAS;SEMOLAS;No
240019;SOPAS Y PLATOS PREPARADOS;SOPAS;No
240020;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
240021;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
240022;HARINAS Y SEMOLAS;SEMOLAS;No
245001;HARINAS Y SEMOLAS;HARINAS;No
245002;HARINAS Y SEMOLAS;HARINAS;No
245003;HARINAS Y SEMOLAS;HARINAS;No
245004;HARINAS Y SEMOLAS;HARINAS;No
245005;HARINAS Y SEMOLAS;HARINAS;No
245007;HARINAS Y SEMOLAS;HARINAS;No
245008;HARINAS Y SEMOLAS;HARINAS;No
245009;HARINAS Y SEMOLAS;HARINAS;No
245010;HARINAS Y SEMOLAS;HARINAS;No
245011;HARINAS Y SEMOLAS;HARINAS;No
245012;HARINAS Y SEMOLAS;ESPESANTE;No
245013;HARINAS Y SEMOLAS;HARINAS;No
245014;HARINAS Y SEMOLAS;HARINAS;No
245102;HARINAS Y SEMOLAS;HARINAS;No
245110;HARINAS Y SEMOLAS;HARINAS;Si
245111;HARINAS Y SEMOLAS;HARINAS;No
250001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250002;ARROCES Y LEGUMBRES;LEGUMBRES;No
250003;COMPLEMENTOS;SUPERALIMENTOS;No
250004;COMPLEMENTOS;SUPERALIMENTOS;No
250005;COMPLEMENTOS;SUPERALIMENTOS;No
250006;COMPLEMENTOS;SUPERALIMENTOS;No
250007;COMPLEMENTOS;SUPERALIMENTOS;No
250008;COMPLEMENTOS;SUPERALIMENTOS;No
250009;COMPLEMENTOS;SUPERALIMENTOS;No
250010;COMPLEMENTOS;SUPERALIMENTOS;No
250011;COMPLEMENTOS;SUPERALIMENTOS;No
250012;COMPLEMENTOS;SUPERALIMENTOS;No
250013;COMPLEMENTOS;SUPERALIMENTOS;No
250014;COMPLEMENTOS;SUPERALIMENTOS;No
250015;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250016;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250017;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250018;COMPLEMENTOS;SUPERALIMENTOS;No
250019;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250020;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250021;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250022;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250023;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250025;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
250026;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250027;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250028;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250029;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250030;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;Si
250031;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250032;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250033;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250034;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250035;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250036;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250037;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250038;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250039;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
250040;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
250041;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
250042;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250043;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;Si
250044;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250045;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250046;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250221;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250900;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250905;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250923;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250931;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250932;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250935;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
250936;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
255001;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255003;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255004;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255006;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255009;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255010;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255011;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255015;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255016;FRUTOS SECOS Y SNACKS;SNACKS;No
255017;FRUTOS SECOS Y SNACKS;SNACKS;No
255018;FRUTOS SECOS Y SNACKS;SNACKS;No
255019;FRUTOS SECOS Y SNACKS;SNACKS;No
255020;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255021;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
255022;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255023;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
255024;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255025;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
255026;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255028;FRUTOS SECOS Y SNACKS;MDD;No
255029;FRUTOS SECOS Y SNACKS;MDD;No
255030;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255091;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255100;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
255101;FRUTOS SECOS Y SNACKS;SNACKS;No
255102;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255103;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255104;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255106;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255107;GALLETAS Y DULCES;GALLETAS Y DULCES;Si
255109;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255110;FRUTOS SECOS Y SNACKS;SNACKS;No
255111;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255112;GALLETAS Y DULCES;GALLETAS Y DULCES;No
255113;FRUTOS SECOS Y SNACKS;SNACKS;No
256001;FRUTOS SECOS Y SNACKS;SNACKS;No
256002;FRUTOS SECOS Y SNACKS;SNACKS;Si
256004;FRUTOS SECOS Y SNACKS;SNACKS;No
256005;FRUTOS SECOS Y SNACKS;SNACKS;Si
256006;FRUTOS SECOS Y SNACKS;SNACKS;Si
256008;FRUTOS SECOS Y SNACKS;SNACKS;Si
256009;FRUTOS SECOS Y SNACKS;SNACKS;Si
256010;FRUTOS SECOS Y SNACKS;SNACKS;No
256011;FRUTOS SECOS Y SNACKS;SNACKS;Si
256014;FRUTOS SECOS Y SNACKS;SNACKS;No
256015;FRUTOS SECOS Y SNACKS;SNACKS;Si
256016;FRUTOS SECOS Y SNACKS;SNACKS;Si
256017;FRUTOS SECOS Y SNACKS;SNACKS;No
256018;FRUTOS SECOS Y SNACKS;SNACKS;No
256019;FRUTOS SECOS Y SNACKS;SNACKS;No
256020;FRUTOS SECOS Y SNACKS;SNACKS;No
256022;FRUTOS SECOS Y SNACKS;SNACKS;Si
256023;FRUTOS SECOS Y SNACKS;SNACKS;Si
256024;FRUTOS SECOS Y SNACKS;SNACKS;No
256025;FRUTOS SECOS Y SNACKS;SNACKS;No
256026;FRUTOS SECOS Y SNACKS;SNACKS;No
256028;FRUTOS SECOS Y SNACKS;SNACKS;No
256029;FRUTOS SECOS Y SNACKS;SNACKS;No
256030;FRUTOS SECOS Y SNACKS;SNACKS;No
256031;FRUTOS SECOS Y SNACKS;SNACKS;No
260009;GALLETAS Y DULCES;MERMELADAS;Si
265003;ARROCES Y LEGUMBRES;LEGUMBRES;No
265004;ARROCES Y LEGUMBRES;LEGUMBRES;No
265006;ARROCES Y LEGUMBRES;LEGUMBRES;No
265007;ARROCES Y LEGUMBRES;LEGUMBRES;No
265010;ARROCES Y LEGUMBRES;LEGUMBRES;No
265014;ARROCES Y LEGUMBRES;LEGUMBRES;No
265015;ARROCES Y LEGUMBRES;LEGUMBRES;No
265017;ARROCES Y LEGUMBRES;LEGUMBRES;No
265018;ARROCES Y LEGUMBRES;LEGUMBRES;Si
265019;SOPAS Y PLATOS PREPARADOS;SOPAS;No
265106;ARROCES Y LEGUMBRES;LEGUMBRES;Si
265114;ARROCES Y LEGUMBRES;LEGUMBRES;Si
265115;ARROCES Y LEGUMBRES;LEGUMBRES;No
265116;ARROCES Y LEGUMBRES;LEGUMBRES;Si
265117;ARROCES Y LEGUMBRES;LEGUMBRES;Si
270001;SEMILLAS;SEMILLAS;No
270002;SEMILLAS;SEMILLAS;No
270003;SEMILLAS;SEMILLAS;No
270004;SEMILLAS;SEMILLAS;No
270005;SEMILLAS;SEMILLAS;No
270006;SEMILLAS;SEMILLAS;No
270008;SEMILLAS;SEMILLAS;No
270009;SEMILLAS;SEMILLAS;No
270010;SEMILLAS;SEMILLAS;Si
270012;SEMILLAS;SEMILLAS;No
270013;SEMILLAS;SEMILLAS;No
270014;SEMILLAS;SEMILLAS;No
270015;SEMILLAS;SEMILLAS;Si
270016;SEMILLAS;SEMILLAS;No
270017;SEMILLAS;SEMILLAS;No
270018;SEMILLAS;SEMILLAS;No
270019;SEMILLAS;SEMILLAS;No
270021;SEMILLAS;SEMILLAS;No
270022;SEMILLAS;SEMILLAS;No
270023;SEMILLAS;SEMILLAS;No
270027;SEMILLAS;SEMILLAS;No
270101;SEMILLAS;SEMILLAS;Si
270106;SEMILLAS;SEMILLAS;No
270202;SEMILLAS;SEMILLAS;Si
270203;SEMILLAS;SEMILLAS;No
270210;SEMILLAS;SEMILLAS;No
270213;SEMILLAS;SEMILLAS;No
270222;SEMILLAS;SEMILLAS;No
270224;SEMILLAS;SEMILLAS;No
270305;SEMILLAS;SEMILLAS;No
270901;SEMILLAS;SEMILLAS;No
270903;SEMILLAS;SEMILLAS;No
270905;SEMILLAS;SEMILLAS;No
270915;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
275001;BEBIDAS VEGETALES;ZUMOS;No
275002;BEBIDAS VEGETALES;ZUMOS;No
275003;BEBIDAS VEGETALES;ZUMOS;No
275004;BEBIDAS VEGETALES;ZUMOS;No
275005;BEBIDAS VEGETALES;ZUMOS;No
275006;BEBIDAS VEGETALES;ZUMOS;No
275007;BEBIDAS VEGETALES;ZUMOS;No
275009;BEBIDAS VEGETALES;ZUMOS;No
275012;BEBIDAS VEGETALES;ZUMOS;No
275014;BEBIDAS VEGETALES;ZUMOS;Si
275015;BEBIDAS VEGETALES;ZUMOS;Si
275016;BEBIDAS VEGETALES;ZUMOS;Si
275017;BEBIDAS VEGETALES;ZUMOS;Si
276001;BEBIDAS VEGETALES;ZUMOS;No
276002;BEBIDAS VEGETALES;ZUMOS;No
276003;BEBIDAS VEGETALES;ZUMOS;No
276005;BEBIDAS VEGETALES;ZUMOS;No
276006;BEBIDAS VEGETALES;ZUMOS;No
276007;BEBIDAS VEGETALES;ZUMOS;No
278001;BEBIDAS VEGETALES;ZUMOS;Si
278002;BEBIDAS VEGETALES;ZUMOS;Si
279001;GALLETAS Y DULCES;MERMELADAS;No
280001;PASTA;PASTA CON VERDURAS;No
280005;PASTA;PASTA CON VERDURAS;No
280006;PASTA;PASTA CON VERDURAS;No
280008;PASTA;PASTA CON VERDURAS;No
280011;PASTA;PASTA INTEGRAL;No
280015;PASTA;PASTA INTEGRAL;No
280016;PASTA;PASTA INTEGRAL;No
280017;PASTA;PASTA INTEGRAL;No
280021;PASTA;PASTA;Si
280023;PASTA;PASTA;Si
280031;PASTA;PASTA CON VERDURAS;No
280032;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
280033;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;Si
280034;PASTA;PASTA ESPELTA;No
280037;PASTA;PASTA ESPELTA;No
280038;PASTA;PASTA ESPELTA;No
280039;PASTA;PASTA ESPELTA;Si
280040;PASTA;PASTA ESPELTA;Si
280041;PASTA;PASTA;No
280042;PASTA;PASTA;No
280050;PASTA;PASTA;Si
280053;PASTA;PASTA;Si
280054;PASTA;PASTA ESPELTA;No
280057;PASTA;PASTA;No
280059;PASTA;PASTA CON VERDURAS;Si
280061;PASTA;PASTA;No
280062;PASTA;PASTA ESPELTA;Si
280063;PASTA;PASTA INTEGRAL;No
280064;PASTA;MDD;No
280065;PASTA;PASTA;Si
280066;PASTA;PASTA ESPELTA;No
280067;PASTA;PASTA ESPELTA;No
280221;PASTA;PASTA;Si
280222;PASTA;PASTA;No
280223;PASTA;PASTA;Si
280224;PASTA;PASTA;Si
281001;MDD;MDD;No
281002;MDD;MDD;No
281003;MDD;MDD;No
281004;MDD;MDD;No
281005;MDD;MDD;No
281006;MDD;MDD;No
281007;MDD;SNACKS;No
281008;MDD;SNACKS;No
281009;MDD;SNACKS;No
281010;MDD;MDD;Si
281011;MDD;MDD;Si
281012;MDD;MDD;Si
281013;MDD;MDD;No
295001;MDD;MDD;No
295002;MDD;MDD;No
295003;MDD;MDD;No
295004;MDD;MDD;No
295005;MDD;MDD;No
295006;MDD;MDD;No
296002;CONDIMENTOS;ACEITES Y VINAGRES;Si
296003;CONDIMENTOS;ACEITES Y VINAGRES;No
296006;CONDIMENTOS;ACEITES Y VINAGRES;No
296007;CONDIMENTOS;ACEITES Y VINAGRES;No
297004;;;Si
297011;MDD;MDD;No
297012;MDD;MDD;No
298004;PASTA;PASTA;No
298005;PASTA;PASTA;Si
298006;PASTA;PASTA;Si
298007;PASTA;PASTA;Si
298008;MDD;MDD;No
298009;MDD;MDD;Si
298010;PASTA;PASTA;Si
298011;PASTA;PASTA;Si
299001;MDD;MDD;No
299002;MDD;MDD;Si
299003;MDD;MDD;No
299010;GALLETAS Y DULCES;MERMELADAS;No
299011;GALLETAS Y DULCES;MERMELADAS;No
299012;MDD;MDD;No
299013;GALLETAS Y DULCES;MERMELADAS;No
299014;GALLETAS Y DULCES;MERMELADAS;No
299015;GALLETAS Y DULCES;MERMELADAS;No
299016;GALLETAS Y DULCES;MERMELADAS;No
299017;GALLETAS Y DULCES;MERMELADAS;Si
299018;MDD;MDD;No
299019;MDD;MDD;No
299020;MDD;MDD;No
299022;MDD;MDD;No
299023;GALLETAS Y DULCES;MERMELADAS;No
299024;MDD;MDD;No
299025;MDD;MDD;No
299026;GALLETAS Y DULCES;MERMELADAS;No
299027;MDD;MDD;No
299029;GALLETAS Y DULCES;MERMELADAS;No
299030;MDD;MDD;No
300001;SEMILLAS;SEMILLAS;No
300024;;;Si
300025;;;Si
300026;;;Si
301001;FRUTOS SECOS Y SNACKS;FRUTAS;No
301008;FRUTOS SECOS Y SNACKS;FRUTAS;No
301009;FRUTOS SECOS Y SNACKS;FRUTAS;No
301010;FRUTOS SECOS Y SNACKS;FRUTAS;No
301011;FRUTOS SECOS Y SNACKS;FRUTAS;No
301012;FRUTOS SECOS Y SNACKS;FRUTAS;No
301014;FRUTOS SECOS Y SNACKS;FRUTAS;No
301017;FRUTOS SECOS Y SNACKS;FRUTAS;Si
301020;FRUTOS SECOS Y SNACKS;FRUTAS;No
301021;FRUTOS SECOS Y SNACKS;FRUTAS;No
301023;FRUTOS SECOS Y SNACKS;FRUTOS SECOS;No
301030;FRUTOS SECOS Y SNACKS;FRUTAS;No
301034;FRUTOS SECOS Y SNACKS;FRUTAS;No
301097;FRUTOS SECOS Y SNACKS;FRUTAS;No
301099;FRUTOS SECOS Y SNACKS;FRUTAS;No
305001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
305002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
305003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
305004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
305006;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
305010;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
305011;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
305012;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
305014;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;Si
305015;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
305016;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;MUESLIS Y GRANOLAS;No
310001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
310002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
310004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
310005;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
310006;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
310007;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
310008;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;Si
310010;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;No
315002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
315004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
315005;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
315007;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
315008;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;Si
315009;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;Si
320001;ARROCES Y LEGUMBRES;ARROCES;No
325001;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
325003;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
325006;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
325008;CONDIMENTOS;AZUCARES Y EDULCORANTES;No
330003;CONDIMENTOS;ACEITES Y VINAGRES;No
330004;CONDIMENTOS;ACEITES Y VINAGRES;No
330005;CONDIMENTOS;ACEITES Y VINAGRES;Si
335001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
335002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
335003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;SALVADOS;No
340001;HARINAS Y SEMOLAS;SEMOLAS;No
340002;HARINAS Y SEMOLAS;SEMOLAS;No
340003;HARINAS Y SEMOLAS;SEMOLAS;No
340004;SOPAS Y PLATOS PREPARADOS;SOPAS;No
340005;HARINAS Y SEMOLAS;SEMOLAS;No
340008;HARINAS Y SEMOLAS;SEMOLAS;Si
340009;SOPAS Y PLATOS PREPARADOS;SOPAS;No
340010;CONDIMENTOS;COMPLEMENTOS;No
