CODART,DESCART,STOCKMIN,STOCKALM,PEDIDOS,PROPUESTA
200002,COPOS AVENA MINI ECO 450 GR. C.AMETLLER,1444,2000,1800,1244
100008,MUESLI MULTIFRUIT 375 GR.  C.AMETLLER,930,1690,1260,500
270003,CUCURBITA  ECO 250 gr.,346,1010,967,303
210010,COPOS DE AVENA MINIS ECO,1317,933,766,1150
265010,LENTEJA ROJA ECO,292,563,711,440
550026,QUINOA MIX HINCHADA DESAYUNO ECO 125 GR.,147,78,600,669
210004,COPOS DE 5 CEREALES ECO,214,325,415,304
210006,COPOS  DE CEBADA  ECO,25,296,402,131
225001,AZUCAR  INT   500 gr.ECO,56,182,363,237
265003,SOJA VERDE ECOLOGICA,45,372,346,19
150020,CHOCOFLAKES 400 GR.,1089,606,326,809
101015,ARANDANOS MITADES 200 GR,506,470,242,278
250002,SOJA TEXTURIZADA ECO 250 GR.,65,20,228,273
240017,BOULGOUR NOR. GRUESO ECO,131,51,216,296
150113,LECITINA DE SOJA NO GMO 500gr,11,210,210,11
120002,ARROZ INTEGRAL  1 KG.,105,41,180,244
270008,BIO MIX 6 SEMILLAS ECO 250 GR,405,251,180,334
265004,AZUKI ECOLOGICO 500GR.,89,150,165,104
220007,ARROZ BLANCO BASMATIC 1 KG.ECO,93,0,162,255
210001,COPOS   DE AVENA NOR ECO,712,186,152,678
170925,SEMILLA LINO ORO MOLIDO 250 GR.,27,151,150,26
210002,COPOS  DE AVENA BLANDOS ECO,498,460,135,173
201023,JENGIBRE ECO 200 GR,279,138,128,269
150007,CORNFLAKES  SIN  AZUCAR,973,1020,125,78
150223,LEVADURA DE CERVEZA 150 GR.,20,121,104,3
101023,JENGIBRE EN DADOS,498,413,100,185
240003,CUS-CUS COMPLETO ECO 500 GR.,262,332,91,21
270905,SEMILLA DE CHIA ECO 400 GR.,33,90,90,33
240002,CUS-CUS NORMAL ECO 500 GR.  ,214,293,85,6
215005,MIJO PELADO ECO,225,22,79,282
235003,SALVADO INT. AVENA ECO.250 GR.,199,34,76,241
125002,AZUCAR  CAÑA MORENO 1 KG.,277,295,72,54
270009,SESAMO NATURAL ECO  250 GR.,195,167,60,88
170024,SEMILLA SESAMO TOSTADA MOLIDA 175 GR.,161,198,54,17
270001,PIPAS GIRASOL ECO 250 GR,189,160,46,75
170005,SEMILLA DE CHIA 250 GR.,586,140,40,486
201015,ARANDANO ROJO  ECO,87,53,40,74
125007,AZUCAR INT. CON MELAZA 1 KG,113,65,36,84
210011,COPOS DE TRIGO SARRACENO ECO,195,61,36,170
250025,QUINOA HINCHADA ECO,269,116,36,189